Date,Amazon_Sales,Flipkart_Sales,Website_Sales,Offline_Sales,Gross_Sales,Total_Orders,Average_Order_Value,Returns,Net_Sales,COGS,Gross_Profit,Platform_Fees,Marketing_Spend_Digital,Marketing_Spend_Offline,Total_Marketing_Spend,Contribution_Margin,Fixed_Cost_Allocation,Net_Profit_Loss,Debt_Repayment_Cash_Out,Net_Cash_Flow
01-01-2024,133890.50458818304,65966.24071812052,15290.344700175086,71531.94415031382,263670.8195877274,80,1463.2273383981703,30321.02236482061,172403.3782241417,40081.057966099404,55606.53826941173,21068.91991312965,45660.60086543295,4669.29849163192,30691.865832118812,-6184.569037027294,11513.16,-17670.88367635721,338617,-146168.00560974574
02-01-2024,40116.065356858635,89719.70390720441,61994.13367523529,68220.33348758533,340005.7208024816,154,1452.811751347359,129706.42695672573,300056.4017406395,101270.03088757388,124427.0526221435,29630.254256111406,19739.209891732717,6251.875834468292,31462.527232208926,-867.0248091911762,11513.16,-14025.158461788575,244601,-49097.08428807795
03-01-2024,173215.25593663767,35811.758819410985,21064.341895247046,54930.316804595655,277704.29312340287,249,1451.8765213637098,118950.3984299689,80771.6262829427,127112.85428546305,57804.22269642926,59499.71661658549,27163.54124222938,5250.923678360803,20009.928394410395,-4774.920012448533,11513.16,-11280.470206693626,139346,-112941.2091769441
04-01-2024,137832.3605797976,21204.326128905213,36673.019915118115,19027.74353956255,311962.835780188,139,1457.3189112103335,112160.18987983718,73866.5213489068,41445.796336332576,41984.76823260387,31248.267288804076,21531.501582972014,4357.686692974743,24409.787040934687,-1972.4507781651773,11513.16,-15912.79917605716,237636,-141010.14771687033
05-01-2024,82842.1456997791,82973.74293449052,45980.694555743685,22819.819214688057,185576.18958561355,64,1455.8357773460868,69778.92400290369,77745.88022335962,84315.02779865745,83125.37871305984,19120.657737558115,31451.633637003186,2957.834399317596,19563.029930712048,-1550.7765220310166,11513.16,-17123.615837300644,96246,-350000.451460578
06-01-2024,46950.118619455694,70626.30447322414,57890.57076846,50620.05189636669,241051.78015409491,196,1457.1092816559265,79005.82012652769,136310.51070883602,107537.24375250564,108102.29106955697,32237.249272686357,45044.4187410956,3910.4493868441423,49284.76748809477,-3875.70389246781,11513.16,-7301.693738875529,9569,-259858.39838770486
07-01-2024,163060.67244671276,88867.76713692215,55324.45349330707,50180.83248459021,242777.52325459666,157,1454.7228595718548,27118.445973808943,239730.8318228612,105027.04846844806,118381.25265748928,74031.95358799791,36786.38187586796,2921.158008598799,13555.513719722228,-933.0468850618463,11513.16,-12170.659741843243,148327,-339111.80589498987
08-01-2024,41493.30806277457,83543.33734751579,23616.566898603174,45746.16000878602,235753.9139559074,245,1451.659445772169,113788.93602106156,147136.5590114108,99314.65631952528,124365.91113561476,60448.72095313136,18755.116934570113,5628.440454444724,19865.209699797655,-4611.243183709592,11513.16,-12350.304808797155,149815,-49525.76901999011
09-01-2024,69925.34484959365,68781.16961759952,25842.416481836797,24798.942842037577,256832.44801465856,280,1467.6759739132224,71169.84023045842,99129.62393903796,89683.54639214312,115395.9976969904,19992.768539222863,20767.462978107375,1525.1735663470813,48089.81273689903,-362.1211873348693,11513.16,-14555.017651377024,4649,-274317.42608685244
10-01-2024,136274.89142023888,103349.06319544556,21283.636508844003,65894.29800265541,209218.0414983873,292,1454.2789489355682,107476.84985364413,208430.61227891588,100154.4929851635,58801.12182794174,65229.79235623868,43507.530675426424,2258.954529625371,24250.290649107068,1702.2097346872852,11513.16,-15766.023693473078,163524,-352065.9123386667
11-01-2024,84885.75175892984,106720.40723304858,41967.30489518799,43894.152813438915,386137.5542288554,224,1456.4593682225354,38400.448339709474,270033.7367637907,131984.81641273916,105590.68486705676,31958.101613841238,20716.039872730886,4822.647218730697,53569.90758787732,-246.3150060467433,11513.16,-7833.646164875256,252554,-123057.16837978762
12-01-2024,68588.47872408702,111299.30381843688,60418.23864682916,20715.658219513498,134636.16219536198,196,1468.4895289225592,42544.27655967729,197271.7132727813,75092.80520107018,101725.54666349737,53415.207105737114,16374.465688949462,1331.313149018858,12722.870032016388,-4255.381722686797,11513.16,-14773.892128294723,75752,-46369.235013021855
13-01-2024,112702.34850662452,50498.09992019936,47605.31101078496,20215.893525755346,272764.432271293,296,1452.1225772353428,106108.92223271754,68336.661142553,136518.0073392184,50368.56841503523,58045.222284952426,13110.463850138762,3526.285834295541,30037.10841926186,-2038.1979488569386,11513.16,-10709.081895750774,214576,-75558.45884589112
14-01-2024,165665.25401862434,67323.53286502448,46297.09049032016,54332.99441562216,204612.14984968049,130,1470.2900790289013,105652.86692394206,130882.52220398324,172004.1092228903,73654.24801609699,50523.28381144439,25920.6030474746,4929.6766066020555,45730.151804955676,888.6301912636345,11513.16,-10426.476290112094,250484,-20654.261262017302
15-01-2024,102113.16984023238,101111.81102802603,34555.064028319,48250.197329681745,292702.8918107325,117,1467.4962264666613,100682.12149487958,149377.99601255677,84936.58891064773,45835.981866683054,44591.61773162704,14811.0949107035,3338.1097184933546,50770.35682873022,3045.7462544546515,11513.16,-15656.77923940892,229487,-240759.80302056408
16-01-2024,89084.05493068641,77682.89787526033,51251.09087999075,31616.29544753149,323835.9074542328,148,1458.1149147426597,76019.39913919332,288721.96806634864,159411.33001982752,82698.73782503924,59354.86739050085,31080.75570119488,3181.0943757482805,37095.66542602077,-442.4007728958295,11513.16,-10356.964616744572,159589,-101445.62378574698
17-01-2024,79466.89645902271,60090.66647062468,49988.90881875213,48553.90963049354,307657.56222132995,285,1469.4121551914675,38391.31936909992,195344.43969632726,138797.17674142873,36086.296060908404,38156.56868216666,19379.627526044656,1122.273401557134,21224.786100855417,1924.105632065798,11513.16,-17743.420828316543,12805,-305925.8483964383
