Date,Amazon_Sales,Flipkart_Sales,Website_Sales,Offline_Sales,Gross_Sales,Total_Orders,Average_Order_Value,Returns,Net_Sales,COGS,Gross_Profit,Platform_Fees,Marketing_Spend_Digital,Marketing_Spend_Offline,Total_Marketing_Spend,Contribution_Margin,Fixed_Cost_Allocation,Net_Profit_Loss,Debt_Repayment_Cash_Out,Net_Cash_Flow,Profitability_Label,Marketing_Efficiency_Ratio,Marketing_Efficiency_Label,Dominant_Sales_Channel
01-01-2024,36977.73,27318.63,15675.96,17157.71,97130.02,67,1449.7,29249.56,67880.47,39203.65,28676.82,17183.42,10634.96,1356.31,11991.28,-497.88,11513.16,-12011.03,0,-12011.03,Medium Profit,5.660819362,Medium Efficiency,Amazon_Sales
02-01-2024,37877.81,20825.11,19347.16,20722.49,98772.57,68,1452.54,29744.19,69028.38,39866.61,29161.77,15812.07,10379.34,1638.11,12017.45,1332.26,11513.16,-10180.9,0,-10180.9,High Profit,5.744012249,High Efficiency,Amazon_Sales
03-01-2024,32178.69,20812.21,20296.73,18095.53,91383.15,63,1450.53,27518.95,63864.2,36884.09,26980.11,14213.08,9746.01,1430.45,11176.46,1590.56,11513.16,-9922.6,0,-9922.6,High Profit,5.714170677,High Efficiency,Amazon_Sales
04-01-2024,32297.07,23619.17,16012,20660.87,92589.1,63,1469.67,27882.11,64706.99,37370.84,27336.15,14947.97,9565.24,1633.24,11198.47,1189.71,11513.16,-10323.45,0,-10323.45,High Profit,5.778199165,High Efficiency,Amazon_Sales
05-01-2024,44569.07,32732.4,16391.56,15440.24,109133.27,75,1455.11,32864.19,76269.08,44048.4,32220.68,20662.44,12459.59,1220.55,13680.13,-2121.9,11513.16,-13635.05,350000,-363635.05,Low Profit,5.575172166,Low Efficiency,Amazon_Sales
06-01-2024,78749,46035.58,36613.92,22970.97,184369.46,127,1451.73,55520.68,128848.78,74415.25,54433.53,33558.61,21463.26,1815.85,23279.11,-2404.2,11513.16,-13917.36,0,-13917.36,Low Profit,5.534953012,Low Efficiency,Amazon_Sales
07-01-2024,59605.94,41219.73,34614.95,30077.14,165517.76,114,1451.91,49843.71,115674.05,66806.32,48867.72,26994.6,18011.31,2377.59,20388.9,1484.23,11513.16,-10028.93,0,-10028.93,High Profit,5.673383557,Medium Efficiency,Amazon_Sales
08-01-2024,34059.57,32637.43,22755.27,16985.65,106437.92,73,1458.05,32052.52,74385.4,42960.5,31424.9,17696.04,11895.64,1342.71,13238.35,490.51,11513.16,-11022.64,0,-11022.64,Medium Profit,5.618932873,Medium Efficiency,Amazon_Sales
09-01-2024,41096.18,29242.74,24858.46,22440.53,117637.91,81,1452.32,35425.26,82212.65,47481.04,34731.6,18817.62,12659.64,1773.92,14433.56,1480.43,11513.16,-10032.73,0,-10032.73,High Profit,5.695937108,High Efficiency,Amazon_Sales
10-01-2024,33162.48,30652.51,15118.04,22382.84,101315.87,69,1468.35,30510.08,70805.8,40893.14,29912.66,16948.62,10496.76,1769.36,12266.11,697.92,11513.16,-10815.24,0,-10815.24,Medium Profit,5.772473914,High Efficiency,Amazon_Sales
