Month,Website_Sales,Amazon_Sales,Flipkart_Sales,COGS,Operating_Expenses,Ad_Spend,Platform_Fees,Loan_Amount,Loan_Repayment,Interest_Expense,Total_Revenue,Total_Expenses,Net_Cash_Flow,Debt_to_Equity,Profit_Margin,Debt_Risk_Label,Cashflow_Stability_Label
31-07-2028,426156,296733,237462,371883,148000,66418,10877,99244,42438,4477,960351,644093,316258,0.17,0.33,Low,Stable
30-04-2056,368964,226945,262650,361509,89350,82217,28252,491860,44874,6533,858559,612735,245824,0.99,0.29,Low,Stable
30-09-2091,725303,145272,290097,446292,75517,93762,41334,387932,44702,16627,1160672,718234,442438,0.54,0.38,Low,Stable
31-07-2042,261813,451537,183850,389241,139132,31781,29049,357395,29823,12755,897200,631781,265419,0.7,0.3,Low,Stable
30-11-2028,227712,423356,217924,369526,109546,25515,27772,810238,7869,865,868992,541093,327899,1.62,0.38,Medium,Stable
31-12-2025,312816,246470,306058,524374,155686,56133,12637,130364,35724,11173,865344,795727,69617,0.38,0.08,Low,Stable
31-05-2078,328778,220030,213623,497220,138151,96946,17242,823333,22401,5329,762431,777289,-14858,3.1,-0.02,High,Unstable
30-09-2021,786580,418647,141001,596675,53327,29095,45651,410259,25958,603,1346228,751309,594919,0.55,0.44,Low,Stable
31-03-2071,485977,499854,260231,450546,170318,40470,43972,468977,10766,5756,1246062,721828,524234,0.59,0.42,Low,Stable
28-02-2030,335230,106570,202775,338799,165945,63129,26928,402968,19768,11254,644575,625823,18752,1.32,0.03,Medium,Stable
30-11-2058,469114,430929,113243,188578,96830,28531,38742,200065,30794,4018,1013286,387493,625793,0.24,0.62,Low,Stable
30-11-2037,534618,109110,232872,240453,102446,57038,21831,697976,26145,5192,876600,453105,423495,1.1,0.48,Medium,Stable
31-07-2047,351456,179141,399972,565534,196232,62674,29556,52127,10086,2015,930569,866097,64472,0.14,0.07,Low,Stable
31-03-2058,305570,112115,341716,487859,190148,49831,35343,992281,43203,9850,759401,816234,-56833,3.65,-0.07,High,Unstable
30-04-2027,470846,139062,348854,358859,119341,77174,32834,786885,26442,3380,958762,618030,340732,1.31,0.36,Medium,Stable
31-01-2051,200404,385055,251918,261435,81085,31279,49288,861864,16412,3770,837377,443269,394108,1.5,0.47,Medium,Stable
30-04-2028,474907,204061,299055,366101,105571,58220,43422,909304,25596,5829,978023,604739,373284,1.49,0.38,Medium,Stable
31-08-2092,435365,394700,380135,301538,195787,80610,33205,611650,10255,1613,1210200,623008,587192,0.67,0.49,Low,Stable
30-04-2075,542786,490479,290129,507886,178308,72719,28830,273120,42406,13147,1323394,843296,480098,0.33,0.36,Low,Stable
30-11-2030,250612,101969,288139,195475,55750,73051,18412,638464,40524,15545,640720,398757,241963,1.43,0.38,Medium,Stable
28-02-2075,400244,405897,160257,472286,163931,92013,13666,99122,23332,18263,966398,783491,182907,0.2,0.19,Low,Stable
30-09-2045,204809,497686,379855,366232,128768,76652,47045,332548,44624,5372,1082350,668693,413657,0.46,0.38,Low,Stable
29-02-2084,363273,221863,86530,307636,85903,85524,30786,344076,15764,10538,671666,536151,135515,0.95,0.2,Low,Stable
31-08-2048,344528,372369,353260,303484,141036,26470,15515,621458,27563,148,1070157,514216,555941,0.81,0.52,Low,Stable
31-12-2060,706964,223008,145794,243526,137954,87598,36627,339851,22139,1754,1075766,529598,546168,0.41,0.51,Low,Stable
30-06-2054,649613,254268,290545,201001,133014,61798,25198,482863,36370,7378,1194426,464759,729667,0.49,0.61,Low,Stable
28-02-2087,238765,205823,212970,469793,167305,73473,13985,951192,5062,13591,657558,743209,-85651,5.07,-0.13,High,Unstable
29-02-2052,516076,375813,84135,342029,82101,39880,39475,217912,44645,9371,976024,557501,418523,0.34,0.43,Low,Stable
31-12-2035,746237,486542,330870,578733,52775,64439,29403,772466,7244,12779,1563649,745373,818276,0.78,0.52,Low,Stable
31-08-2099,401152,210677,169087,294228,161497,34308,13681,235851,6372,9795,780916,519881,261035,0.48,0.33,Low,Stable
31-01-2043,499888,346958,276103,566280,95619,55081,36019,355933,39873,19436,1122949,812308,310641,0.64,0.28,Low,Stable
31-05-2033,292193,148320,375524,175711,107124,95242,37586,620804,19965,5692,816037,441320,374717,0.97,0.46,Low,Stable
30-04-2058,236187,246649,359215,180106,115149,70383,47521,919521,44997,4218,842051,462374,379677,1.39,0.45,Medium,Stable
28-02-2046,705950,225354,100074,477602,76616,29837,49850,532245,16956,4803,1031378,655664,375714,0.96,0.36,Low,Stable
31-10-2021,338311,188009,301796,559805,111799,72151,46770,507750,40473,18761,828116,849759,-21643,1.89,-0.03,Medium,Unstable
31-01-2041,708153,357437,147843,542573,140221,56824,15629,107724,13894,11672,1213433,780813,432620,0.16,0.36,Low,Stable
30-04-2082,389089,128625,119901,367583,164879,53073,37710,398008,45048,3182,637615,671475,-33860,1.47,-0.05,Medium,Unstable
31-05-2091,786165,312112,353349,513898,75479,46299,40328,973486,33382,11009,1451626,720395,731231,1.04,0.5,Medium,Stable
30-09-2066,636341,386233,348050,288286,149165,78861,22278,275381,4050,14328,1370624,556968,813656,0.25,0.59,Low,Stable
31-07-2059,512066,136487,142987,377189,105863,50063,18417,838018,16709,19544,791540,587785,203755,2.02,0.26,High,Stable
30-11-2024,761419,328071,134400,276479,132569,89453,44765,999291,15722,2586,1223890,561574,662316,1.05,0.54,Medium,Stable
31-07-2062,325917,472592,236222,570343,196480,88472,18963,805684,15210,2648,1034731,892116,142615,1.73,0.14,Medium,Stable
31-10-2076,499770,412282,111852,286213,66351,34506,47292,403923,49510,7313,1023904,491185,532719,0.55,0.52,Low,Stable
31-08-2059,681680,273895,394900,178884,185203,99854,35009,689566,36545,18101,1350475,553596,796879,0.59,0.59,Low,Stable
30-04-2078,481342,416205,199052,414852,94825,46026,37675,527831,38674,12544,1096599,644596,452003,0.77,0.41,Low,Stable
30-04-2101,739542,201376,136481,430519,61349,47672,46175,699495,34489,7407,1077399,627611,449788,1.08,0.42,Medium,Stable
31-03-2085,244238,441278,343427,165088,94254,58417,16731,247541,17733,17254,1028943,369477,659466,0.29,0.64,Low,Stable
31-10-2035,201252,409199,113691,469759,88225,72413,21332,628935,20080,15234,724142,687043,37099,2.47,0.05,High,Stable
31-10-2099,685450,343341,278137,522282,62453,85066,29177,559319,36664,19958,1306928,755600,551328,0.71,0.42,Low,Stable
31-03-2077,515826,381652,106170,326118,199886,79213,33718,174001,39709,15012,1003648,693656,309992,0.26,0.31,Low,Stable
31-10-2099,521638,258056,88438,422158,199335,70971,12911,327891,46232,9735,868132,761342,106790,0.74,0.12,Low,Stable
30-11-2066,527359,210169,362239,345497,127694,47281,28799,451067,38014,13425,1099767,600710,499057,0.6,0.45,Low,Stable
31-12-2092,206949,370269,227226,546489,65735,48091,25194,317455,41152,15698,804444,742359,62085,1.23,0.08,Medium,Stable
31-03-2067,517537,136059,351896,328207,196902,70494,14951,505329,27250,15321,1005492,653125,352367,0.75,0.35,Low,Stable
30-04-2040,750222,203409,135426,514986,97893,38610,38333,760691,20229,12646,1089057,722697,366360,1.33,0.34,Medium,Stable
30-04-2089,655102,105704,319968,574097,177006,21079,31673,65867,48137,19624,1080774,871616,209158,0.13,0.19,Low,Stable
31-01-2062,537889,304456,368963,228077,95066,66751,15565,88780,16475,4893,1211308,426827,784481,0.09,0.65,Low,Stable
30-11-2030,676467,318200,235289,289784,184445,75432,32821,57196,46412,9476,1229956,638370,591586,0.06,0.48,Low,Stable
31-05-2060,556600,211279,341501,355776,191407,50951,35494,597993,43876,17270,1109380,694774,414606,0.79,0.37,Low,Stable
31-03-2088,515557,258280,299780,465018,60692,98291,43941,844326,29011,18642,1073617,715595,358022,1.39,0.33,Medium,Stable
30-11-2073,504462,218516,375138,219087,95541,79872,18624,874072,8128,4382,1098116,425634,672482,0.99,0.61,Low,Stable
30-09-2021,450875,297096,226108,424441,116983,27235,10835,500653,32450,1785,974079,613729,360350,0.91,0.37,Low,Stable
31-01-2090,663389,476188,288347,390341,170747,82712,28646,276735,18897,13030,1427924,704373,723551,0.27,0.51,Low,Stable
30-11-2033,270390,332549,177756,439272,135103,41473,21824,621535,8168,11735,780695,657575,123120,1.82,0.16,Medium,Stable
31-10-2042,453490,129165,175665,218368,75566,87567,47335,704253,6861,16679,758320,452376,305944,1.3,0.4,Medium,Stable
30-04-2052,767376,167203,211717,369571,123193,99823,13815,727,41758,10245,1146296,658405,487891,0,0.43,Low,Stable
31-01-2070,447940,366258,242002,491102,191417,52230,12429,938863,13750,2597,1056200,763525,292675,1.66,0.28,Medium,Stable
30-04-2046,565340,136321,341691,445064,171015,88876,12607,43822,16988,17064,1043352,751614,291738,0.07,0.28,Low,Stable
28-02-2021,633027,435441,161835,401514,180956,60644,35650,365543,2979,324,1230303,682067,548236,0.44,0.45,Low,Stable
29-02-2040,708041,458796,202232,554372,120744,68664,48698,112113,23524,15160,1369069,831162,537907,0.14,0.39,Low,Stable
30-09-2084,517623,461448,298561,292180,83455,65203,42353,219606,7065,12614,1277632,502870,774762,0.22,0.61,Low,Stable
31-10-2048,416464,345014,323051,575061,104219,86677,46790,392575,37684,986,1084529,851417,233112,0.77,0.21,Low,Stable
31-01-2067,710736,256498,237547,546016,95991,45425,21991,928433,23184,19502,1204781,752109,452672,1.41,0.38,Medium,Stable
31-10-2094,517267,117772,123732,409904,123616,89806,31168,390732,33365,760,758771,688619,70152,1.12,0.09,Medium,Stable
30-04-2048,423777,465898,292695,585928,137438,62814,41099,584379,23704,11885,1182370,862868,319502,0.98,0.27,Low,Stable
31-08-2027,205569,365856,388449,545826,166841,90219,49385,473594,5622,9228,959874,867121,92753,1.14,0.1,Medium,Stable
31-07-2050,794124,494583,257109,227603,190558,69646,45919,154591,18261,17290,1545816,569277,976539,0.12,0.63,Low,Stable
31-08-2099,629802,338389,89346,183872,108870,59884,41416,410609,44932,5499,1057537,444473,613064,0.47,0.58,Low,Stable
30-11-2057,458090,215142,342731,422872,136694,89322,15580,951822,28419,364,1015963,693251,322712,1.6,0.32,Medium,Stable
31-08-2055,245002,191736,92763,507246,93856,41650,17054,205603,34467,19797,529501,714070,-184569,9.24,-0.35,High,Unstable
31-05-2062,698870,151924,270237,534193,151407,29190,34090,880624,25605,8027,1121031,782512,338519,1.5,0.3,Medium,Stable
31-08-2084,411791,103726,318553,432727,81379,58196,25823,179006,29171,13532,834070,640828,193242,0.45,0.23,Low,Stable
31-07-2098,402846,451296,200987,235774,114729,59449,47341,372949,22164,14408,1055129,493865,561264,0.46,0.53,Low,Stable
30-11-2022,224071,127723,296823,550479,104353,59661,25339,998607,49868,16105,648617,805805,-157188,10.18,-0.24,High,Unstable
28-02-2037,782531,489113,171353,538518,64031,49709,13491,159912,46197,7939,1442997,719885,723112,0.18,0.5,Low,Stable
30-09-2026,372312,334182,301373,348522,115982,95179,10706,904521,13796,13936,1007867,598121,409746,1.37,0.41,Medium,Stable
31-08-2097,457218,462638,105556,370357,86683,29943,41957,613655,36854,9261,1025412,575055,450357,0.94,0.44,Low,Stable
31-10-2066,414879,240180,98099,562672,164091,63240,25728,13265,31320,15863,753158,862914,-109756,0.07,-0.15,Low,Unstable
31-08-2092,563714,308786,256168,503262,167797,65760,16997,398640,665,12561,1128668,767042,361626,0.64,0.32,Low,Stable
30-04-2052,626650,135643,283058,215942,198690,41042,48001,413841,32694,10447,1045351,546816,498535,0.5,0.48,Low,Stable
