Date,Revenue,COGS,Salaries,Marketing,Rent,Utilities,CapEx,Loan_Payment,Product_Line,Department_Expense_Type,Gross_Profit,Total_OpEx,Operating_Income,Daily_Cash_Flow,Cumulative_Cash_Flow
01-01-2024,8747.35,3706.85,2500,886.06,1500,301.72,0,2000,Hardware,Marketing,5040.5,5187.78,-147.28,-2147.28,-2147.28
02-01-2024,7215.93,3171.09,2500.1,599.06,1500,303.44,0,0,Services,Marketing,4044.84,4902.6,-857.76,-857.76,-3005.04
03-01-2024,8885.1,3588.18,2500.2,927.67,1500,305.16,0,0,Software,R&D,5296.92,5233.02,63.89,63.89,-2941.15
04-01-2024,8072.53,3236.82,2500.3,762.62,1500,306.88,0,0,Hardware,Sales,4835.71,5069.79,-234.08,-234.08,-3175.23
05-01-2024,8125.17,3330.67,2500.4,731.36,1500,308.59,0,0,Services,Marketing,4794.5,5040.35,-245.85,-245.85,-3421.08
06-01-2024,7874.47,3325.24,2500.5,880.38,1500,310.3,0,0,Software,Admin,4549.24,5191.19,-641.95,-641.95,-4063.03
07-01-2024,8070.81,3277.91,2500.6,673.88,1500,312.01,0,0,Consulting,Sales,4792.9,4986.5,-193.6,-193.6,-4256.63
08-01-2024,8097.79,3408.94,2500.7,916.55,1500,313.72,0,0,Hardware,R&D,4688.85,5230.97,-542.12,-542.12,-4798.75
09-01-2024,7798.08,3289.33,2500.8,634.4,1500,315.42,0,0,Services,Marketing,4508.75,4950.62,-441.87,-441.87,-5240.62
10-01-2024,9193.06,3708.42,2500.9,957.13,1500,317.12,0,0,Consulting,Sales,5484.64,5275.15,209.5,209.5,-5031.12
11-01-2024,8615.69,3489.32,2501,705.57,1500,318.81,0,0,Services,Sales,5126.37,5025.38,100.99,100.99,-4930.13
12-01-2024,8563.95,3829.52,2501.1,958.28,1500,320.5,0,0,Hardware,Sales,4734.43,5279.88,-545.45,-545.45,-5475.58
13-01-2024,8871.13,3658.32,2501.2,839.23,1500,322.18,0,0,Consulting,Sales,5212.81,5162.6,50.21,50.21,-5425.37
14-01-2024,8123.79,3303.46,2501.3,673.42,1500,323.85,0,0,Hardware,R&D,4820.33,4998.57,-178.25,-178.25,-5603.62
15-01-2024,7781.01,3266.84,2501.4,825.64,1500,325.52,0,0,Hardware,Admin,4514.17,5152.56,-638.38,-638.38,-6242
16-01-2024,8227.58,3615.75,2501.5,712.13,1500,327.18,0,0,Hardware,Sales,4611.83,5040.81,-428.98,-428.98,-6670.98
17-01-2024,8442.39,3684.9,2501.6,972.81,1500,328.83,0,0,Consulting,Sales,4757.49,5303.24,-545.75,-545.75,-7216.73
18-01-2024,8652.3,3521.38,2501.7,845.37,1500,330.47,0,0,Hardware,R&D,5130.92,5177.54,-46.62,-46.62,-7263.35
19-01-2024,8794.59,3918.35,2501.8,996.38,1500,332.11,0,0,Consulting,Admin,4876.24,5330.29,-454.05,-454.05,-7717.41
20-01-2024,8487.18,3778.13,2501.9,950.34,1500,333.73,0,0,Software,Marketing,4709.06,5285.97,-576.91,-576.91,-8294.32
21-01-2024,7951.35,3247.18,2502,804.27,1500,335.34,0,0,Hardware,Marketing,4704.17,5141.62,-437.45,-437.45,-8731.76
22-01-2024,8474.83,3799.9,2502.1,726.09,1500,336.95,18313.15,0,Services,Sales,4674.93,5065.14,-390.21,-18703.36,-27435.13
23-01-2024,8370.18,3417.98,2502.2,750.51,1500,338.54,0,0,Hardware,Sales,4952.2,5091.25,-139.05,-139.05,-27574.17
24-01-2024,8989.37,3864.2,2502.3,893.76,1500,340.12,0,0,Software,Marketing,5125.17,5236.18,-111.01,-111.01,-27685.18
25-01-2024,8939.09,3945.39,2502.4,956.08,1500,341.69,0,0,Services,R&D,4993.71,5300.17,-306.47,-306.47,-27991.65
26-01-2024,8063.78,3288.67,2502.5,749.42,1500,343.25,0,0,Software,R&D,4775.11,5095.17,-320.06,-320.06,-28311.71
27-01-2024,8256.57,3587.82,2502.6,816.43,1500,344.79,0,0,Software,R&D,4668.76,5163.82,-495.07,-495.07,-28806.78
28-01-2024,9084.42,4074.92,2502.7,843.14,1500,346.33,0,0,Software,Sales,5009.49,5192.17,-182.68,-182.68,-28989.45
29-01-2024,9179.03,4058.79,2502.8,1010.03,1500,347.84,0,0,Software,Sales,5120.24,5360.68,-240.44,-240.44,-29229.89
30-01-2024,9332.34,4123.2,2502.9,1114.36,1500,349.35,0,0,Hardware,Marketing,5209.14,5466.61,-257.46,-257.46,-29487.35
31-01-2024,8181.94,3589.97,2503,830.19,1500,350.84,0,0,Software,Sales,4591.97,5184.03,-592.06,-592.06,-30079.41
01-02-2024,8756.73,3690.16,2503.1,805.46,1500,352.31,0,2000,Software,Sales,5066.56,5160.87,-94.31,-2094.31,-32173.72
02-02-2024,8340.57,3748.7,2503.2,992.13,1500,353.77,0,0,Hardware,Sales,4591.87,5349.1,-757.23,-757.23,-32930.95
03-02-2024,8841.27,3803.81,2503.3,813.81,1500,355.21,0,0,Consulting,Sales,5037.47,5172.32,-134.86,-134.86,-33065.8
04-02-2024,9400.05,4016.07,2503.4,754.69,1500,356.64,0,0,Software,Marketing,5383.98,5114.73,269.25,269.25,-32796.55
05-02-2024,8586.58,3793.73,2503.5,838.47,1500,358.05,0,0,Hardware,Sales,4792.85,5200.01,-407.17,-407.17,-33203.72
06-02-2024,9094.94,3913.63,2503.6,1018.64,1500,359.44,0,0,Software,Marketing,5181.31,5381.68,-200.36,-200.36,-33404.08
07-02-2024,8963.48,3992.44,2503.7,747.34,1500,360.81,0,0,Hardware,Sales,4971.04,5111.85,-140.81,-140.81,-33544.89
08-02-2024,9256.95,3732.45,2503.8,759.42,1500,362.17,0,0,Services,Sales,5524.49,5125.39,399.1,399.1,-33145.79
09-02-2024,8662.89,3486.5,2503.9,930.83,1500,363.51,0,0,Services,Sales,5176.39,5298.24,-121.86,-121.86,-33267.64
10-02-2024,9522.08,4011.22,2504,986.98,1500,364.83,0,0,Services,Admin,5510.86,5355.81,155.06,155.06,-33112.59
11-02-2024,9126.29,3651.07,2504.1,954.96,1500,366.13,0,0,Hardware,R&D,5475.22,5325.18,150.04,150.04,-32962.54
12-02-2024,9490.82,4202.16,2504.2,1072.36,1500,367.41,0,0,Consulting,Sales,5288.65,5443.97,-155.32,-155.32,-33117.86
13-02-2024,9081.31,3874.12,2504.3,946.98,1500,368.67,0,0,Software,Sales,5207.18,5319.95,-112.76,-112.76,-33230.62
14-02-2024,8954.82,3806.51,2504.4,1069.31,1500,369.91,0,0,Software,R&D,5148.31,5443.62,-295.31,-295.31,-33525.94
15-02-2024,9646.09,4316.07,2504.5,792.51,1500,371.13,0,0,Hardware,Marketing,5330.02,5168.14,161.88,161.88,-33364.05
16-02-2024,9506.99,4133.96,2504.6,908.37,1500,372.33,0,0,Software,Sales,5373.02,5285.3,87.72,87.72,-33276.33
17-02-2024,8722.42,3864.73,2504.7,1027.57,1500,373.5,0,0,Software,Sales,4857.68,5405.78,-548.09,-548.09,-33824.42
18-02-2024,8939.64,3967.43,2504.8,1031.11,1500,374.66,0,0,Software,Sales,4972.22,5410.57,-438.35,-438.35,-34262.77
