Date,Revenue,Loan_Proceeds,CapEx,Loan_Payment,Interest_Expense,COGS,Salaries,Marketing,Rent,Region,Gross_Profit,Total_OpEx,Operating_Income (EBIT),Net_Income,Daily_Cash_Flow,Cumulative_Cash_Flow
2024-01-01,5723.47,0.0,0,0.0,0.0,2893.51,4000.0,457.88,2500,North,2829.96,6957.88,-4127.91,-4127.91,-4127.91,-4127.91
2024-01-02,6414.66,0.0,0,0.0,0.0,3232.18,4000.2,513.17,2500,North,3182.48,7013.37,-3830.89,-3830.89,-3830.89,-7958.8
2024-01-03,6845.53,0.0,0,0.0,0.0,3423.52,4000.4,547.64,2500,North,3422.0,7048.04,-3626.04,-3626.04,-3626.04,-11584.84
2024-01-04,6210.51,0.0,0,0.0,0.0,3169.04,4000.6,496.84,2500,North,3041.47,6997.44,-3955.97,-3955.97,-3955.97,-15540.81
2024-01-05,5565.72,0.0,0,0.0,0.0,2922.96,4000.8,445.26,2500,North,2642.76,6946.06,-4303.29,-4303.29,-4303.29,-19844.1
2024-01-06,6453.85,0.0,0,0.0,0.0,3406.34,4001.0,516.31,2500,North,3047.51,7017.31,-3969.8,-3969.8,-3969.8,-23813.9
2024-01-07,6424.56,0.0,0,0.0,0.0,3386.44,4001.2,513.96,2500,North,3038.12,7015.16,-3977.05,-3977.05,-3977.05,-27790.95
2024-01-08,5801.53,0.0,0,0.0,0.0,3145.15,4001.4,464.12,2500,North,2656.38,6965.52,-4309.14,-4309.14,-4309.14,-32100.1
2024-01-09,6134.32,0.0,0,0.0,0.0,3180.12,4001.6,490.75,2500,North,2954.2,6992.35,-4038.15,-4038.15,-4038.15,-36138.24
2024-01-10,5709.72,0.0,0,0.0,0.0,3037.63,4001.8,456.78,2500,North,2672.08,6958.58,-4286.49,-4286.49,-4286.49,-40424.74
2024-01-11,6539.15,0.0,0,0.0,0.0,3579.02,4002.0,523.13,2500,North,2960.14,7025.13,-4065.0,-4065.0,-4065.0,-44489.73
2024-01-12,5860.63,0.0,0,0.0,0.0,3072.49,4002.2,468.85,2500,North,2788.15,6971.05,-4182.91,-4182.91,-4182.91,-48672.64
2024-01-13,5800.0,0.0,0,0.0,0.0,3042.28,4002.4,464.0,2500,North,2757.72,6966.4,-4208.68,-4208.68,-4208.68,-52881.32
2024-01-14,5394.93,0.0,0,0.0,0.0,2891.17,4002.6,431.59,2500,North,2503.76,6934.19,-4430.44,-4430.44,-4430.44,-57311.76
2024-01-15,5934.07,0.0,0,0.0,0.0,3016.6,4002.8,474.73,2500,North,2917.47,6977.53,-4060.05,-4060.05,-4060.05,-61371.81
2024-01-16,7078.37,0.0,0,0.0,0.0,3682.45,4003.0,566.27,2500,North,3395.93,7069.27,-3673.34,-3673.34,-3673.34,-65045.15
2024-01-17,5816.36,0.0,0,0.0,0.0,2917.38,4003.2,465.31,2500,North,2898.98,6968.51,-4069.53,-4069.53,-4069.53,-69114.68
2024-01-18,7161.34,0.0,0,0.0,0.0,3857.55,4003.4,572.91,2500,North,3303.79,7076.31,-3772.52,-3772.52,-3772.52,-72887.2
2024-01-19,6308.69,0.0,0,0.0,0.0,3425.15,4003.6,504.7,2500,North,2883.54,7008.3,-4124.75,-4124.75,-4124.75,-77011.95
2024-01-20,5527.15,0.0,0,0.0,0.0,2908.21,4003.8,442.17,2500,North,2618.94,6945.97,-4327.03,-4327.03,-4327.03,-81338.98
2024-01-21,5857.93,0.0,0,0.0,0.0,3129.76,4004.0,468.63,2500,North,2728.16,6972.63,-4244.47,-4244.47,-4244.47,-85583.45
2024-01-22,6430.78,0.0,0,0.0,0.0,3320.49,4004.2,514.46,2500,North,3110.29,7018.66,-3908.37,-3908.37,-3908.37,-89491.83
2024-01-23,6246.72,0.0,0,0.0,0.0,3378.04,4004.4,499.74,2500,North,2868.68,7004.14,-4135.45,-4135.45,-4135.45,-93627.28
2024-01-24,5729.33,0.0,0,0.0,0.0,3112.85,4004.6,458.35,2500,North,2616.48,6962.95,-4346.47,-4346.47,-4346.47,-97973.75
2024-01-25,6517.63,0.0,0,0.0,0.0,3488.1,4004.8,521.41,2500,North,3029.53,7026.21,-3996.68,-3996.68,-3996.68,-101970.43
2024-01-26,6557.9,0.0,0,0.0,0.0,3571.09,4005.0,524.63,2500,North,2986.81,7029.63,-4042.82,-4042.82,-4042.82,-106013.25
2024-01-27,6496.5,0.0,0,0.0,0.0,3303.94,4005.2,519.72,2500,North,3192.56,7024.92,-3832.36,-3832.36,-3832.36,-109845.61
2024-01-28,6059.45,0.0,0,0.0,0.0,3037.68,4005.4,484.76,2500,North,3021.77,6990.16,-3968.39,-3968.39,-3968.39,-113814.0
2024-01-29,6294.74,0.0,0,0.0,0.0,3389.64,4005.6,503.58,2500,North,2905.1,7009.18,-4104.08,-4104.08,-4104.08,-117918.08
2024-01-30,6494.72,0.0,0,0.0,0.0,3558.86,4005.8,519.58,2500,North,2935.86,7025.38,-4089.52,-4089.52,-4089.52,-122007.6
2024-01-31,6008.35,0.0,0,0.0,0.0,3252.19,4006.0,480.67,2500,North,2756.16,6986.67,-4230.51,-4230.51,-4230.51,-126238.11
2024-02-01,4880.74,0.0,0,0.0,0.0,2552.27,4006.2,390.46,2500,North,2328.48,6896.66,-4568.18,-4568.18,-4568.18,-130806.29
2024-02-02,6598.18,0.0,0,0.0,0.0,3415.66,4006.4,527.85,2500,North,3182.52,7034.25,-3851.74,-3851.74,-3851.74,-134658.03
2024-02-03,6176.47,0.0,0,0.0,0.0,3127.55,4006.6,494.12,2500,North,3048.92,7000.72,-3951.8,-3951.8,-3951.8,-138609.83
2024-02-04,6688.01,0.0,0,0.0,0.0,3638.44,4006.8,535.04,2500,North,3049.57,7041.84,-3992.27,-3992.27,-3992.27,-142602.1
2024-02-05,7093.12,0.0,0,0.0,0.0,3608.87,4007.0,567.45,2500,North,3484.26,7074.45,-3590.19,-3590.19,-3590.19,-146192.29
2024-02-06,6196.53,0.0,0,0.0,0.0,3172.19,4007.2,495.72,2500,North,3024.34,7002.92,-3978.58,-3978.58,-3978.58,-150170.88
2024-02-07,6771.79,0.0,0,0.0,0.0,3618.24,4007.4,541.74,2500,North,3153.55,7049.14,-3895.59,-3895.59,-3895.59,-154066.47
2024-02-08,6101.2,0.0,0,0.0,0.0,3302.31,4007.6,488.1,2500,North,2798.89,6995.7,-4196.8,-4196.8,-4196.8,-158263.27
2024-02-09,5810.0,0.0,0,0.0,0.0,3044.8,4007.8,464.8,2500,North,2765.2,6972.6,-4207.4,-4207.4,-4207.4,-162470.67
2024-02-10,6142.03,0.0,0,0.0,0.0,3246.63,4008.0,491.36,2500,North,2895.39,6999.36,-4103.97,-4103.97,-4103.97,-166574.64
2024-02-11,6011.3,0.0,0,0.0,0.0,3171.42,4008.2,480.9,2500,North,2839.87,6989.1,-4149.23,-4149.23,-4149.23,-170723.87
2024-02-12,6101.01,0.0,0,0.0,0.0,3147.72,4008.4,488.08,2500,North,2953.3,6996.48,-4043.18,-4043.18,-4043.18,-174767.06
2024-02-13,6206.54,0.0,0,0.0,0.0,3272.58,4008.6,496.52,2500,North,2933.96,7005.12,-4071.16,-4071.16,-4071.16,-178838.22
2024-02-14,6726.66,0.0,0,0.0,0.0,3443.99,4008.8,538.13,2500,North,3282.66,7046.93,-3764.27,-3764.27,-3764.27,-182602.49
2024-02-15,6249.2,0.0,0,0.0,0.0,3288.37,4009.0,499.94,2500,North,2960.83,7008.94,-4048.11,-4048.11,-4048.11,-186650.6
2024-02-16,6245.06,0.0,0,0.0,0.0,3398.7,4009.2,499.6,2500,North,2846.36,7008.8,-4162.45,-4162.45,-4162.45,-190813.05
2024-02-17,6315.22,0.0,0,0.0,0.0,3271.67,4009.4,505.22,2500,North,3043.56,7014.62,-3971.06,-3971.06,-3971.06,-194784.11
2024-02-18,5870.62,0.0,0,0.0,0.0,3205.31,4009.6,469.65,2500,North,2665.31,6979.25,-4313.94,-4313.94,-4313.94,-199098.05
2024-02-19,6358.72,0.0,0,0.0,0.0,3418.35,4009.8,508.7,2500,North,2940.36,7018.5,-4078.13,-4078.13,-4078.13,-203176.19
2024-02-20,6144.39,0.0,0,0.0,0.0,3151.38,4010.0,491.55,2500,North,2993.01,7001.55,-4008.55,-4008.55,-4008.55,-207184.73
2024-02-21,6677.1,0.0,0,0.0,0.0,3636.66,4010.2,534.17,2500,North,3040.44,7044.37,-4003.93,-4003.93,-4003.93,-211188.66
2024-02-22,6577.75,0.0,0,0.0,0.0,3456.45,4010.4,526.22,2500,North,3121.3,7036.62,-3915.32,-3915.32,-3915.32,-215103.98
2024-02-23,6234.43,0.0,0,0.0,0.0,3404.55,4010.6,498.75,2500,North,2829.88,7009.35,-4179.48,-4179.48,-4179.48,-219283.46
2024-02-24,6638.31,0.0,0,0.0,0.0,3435.75,4010.8,531.07,2500,North,3202.56,7041.87,-3839.3,-3839.3,-3839.3,-223122.76
2024-02-25,6453.95,0.0,0,0.0,0.0,3507.5,4011.0,516.32,2500,North,2946.45,7027.32,-4080.87,-4080.87,-4080.87,-227203.63
2024-02-26,6457.84,0.0,0,0.0,0.0,3327.68,4011.2,516.63,2500,North,3130.16,7027.83,-3897.67,-3897.67,-3897.67,-231101.3
2024-02-27,6729.78,0.0,0,0.0,0.0,3560.67,4011.4,538.38,2500,North,3169.11,7049.78,-3880.67,-3880.67,-3880.67,-234981.97
2024-02-28,6407.28,0.0,0,0.0,0.0,3435.57,4011.6,512.58,2500,North,2971.71,7024.18,-4052.48,-4052.48,-4052.48,-239034.44
2024-02-29,6742.94,0.0,0,0.0,0.0,3703.37,4011.8,539.44,2500,North,3039.57,7051.24,-4011.66,-4011.66,-4011.66,-243046.11
2024-03-01,6212.32,0.0,0,0.0,0.0,3144.69,4012.0,496.99,2500,North,3067.63,7008.99,-3941.35,-3941.35,-3941.35,-246987.46
2024-03-02,6444.8,0.0,0,0.0,0.0,3409.03,4012.2,515.58,2500,North,3035.77,7027.78,-3992.01,-3992.01,-3992.01,-250979.47
2024-03-03,6651.44,0.0,0,0.0,0.0,3384.3,4012.4,532.12,2500,North,3267.14,7044.52,-3777.37,-3777.37,-3777.37,-254756.84
2024-03-04,7130.59,0.0,0,0.0,0.0,3621.16,4012.6,570.45,2500,North,3509.43,7083.05,-3573.62,-3573.62,-3573.62,-258330.46
2024-03-05,6092.27,0.0,0,0.0,0.0,3123.95,4012.8,487.38,2500,North,2968.33,7000.18,-4031.86,-4031.86,-4031.86,-262362.31
2024-03-06,6967.01,0.0,0,0.0,0.0,3814.23,4013.0,557.36,2500,North,3152.78,7070.36,-3917.58,-3917.58,-3917.58,-266279.9
2024-03-07,6308.39,0.0,1000,0.0,0.0,3378.34,4013.2,504.67,2500,North,2930.04,7017.87,-4087.83,-4087.83,-5087.83,-271367.72
2024-03-08,6123.03,0.0,0,0.0,0.0,3173.98,4013.4,489.84,2500,North,2949.05,7003.24,-4054.2,-4054.2,-4054.2,-275421.92
2024-03-09,6749.27,0.0,1000,0.0,0.0,3671.65,4013.6,539.94,2500,North,3077.62,7053.54,-3975.92,-3975.92,-4975.92,-280397.84
2024-03-10,7257.47,0.0,0,0.0,0.0,3842.81,4013.8,580.6,2500,North,3414.65,7094.4,-3679.74,-3679.74,-3679.74,-284077.59
2024-03-11,6849.83,0.0,1000,0.0,0.0,3633.5,4014.0,547.99,2500,North,3216.33,7061.99,-3845.66,-3845.66,-4845.66,-288923.25
2024-03-12,6597.65,0.0,0,0.0,0.0,3591.83,4014.2,527.81,2500,North,3005.83,7042.01,-4036.18,-4036.18,-4036.18,-292959.43
2024-03-13,6611.29,0.0,0,0.0,0.0,3472.3,4014.4,528.9,2500,North,3138.99,7043.3,-3904.32,-3904.32,-3904.32,-296863.75
2024-03-14,7621.53,0.0,0,0.0,0.0,3937.03,4014.6,609.72,2500,North,3684.5,7124.32,-3439.82,-3439.82,-3439.82,-300303.57
2024-03-15,6656.96,0.0,0,0.0,0.0,3476.43,4014.8,532.56,2500,North,3180.52,7047.36,-3866.83,-3866.83,-3866.83,-304170.4
2024-03-16,7055.65,0.0,0,0.0,0.0,3812.12,4015.0,564.45,2500,North,3243.52,7079.45,-3835.93,-3835.93,-3835.93,-308006.33
2024-03-17,6683.4,0.0,0,0.0,0.0,3649.51,4015.2,534.67,2500,North,3033.89,7049.87,-4015.99,-4015.99,-4015.99,-312022.32
2024-03-18,6667.36,0.0,0,0.0,0.0,3600.64,4015.4,533.39,2500,North,3066.72,7048.79,-3982.07,-3982.07,-3982.07,-316004.38
2024-03-19,7225.65,0.0,0,0.0,0.0,3793.47,4015.6,578.05,2500,North,3432.19,7093.65,-3661.47,-3661.47,-3661.47,-319665.85
2024-03-20,7600.12,0.0,0,0.0,0.0,3858.6,4015.8,608.01,2500,North,3741.52,7123.81,-3382.29,-3382.29,-3382.29,-323048.13
2024-03-21,7407.76,0.0,0,0.0,0.0,3978.76,4016.0,592.62,2500,North,3429.0,7108.62,-3679.63,-3679.63,-3679.63,-326727.76
2024-03-22,6915.6,0.0,0,0.0,0.0,3534.22,4016.2,553.25,2500,North,3381.38,7069.45,-3688.07,-3688.07,-3688.07,-330415.83
2024-03-23,6487.82,0.0,0,0.0,0.0,3384.01,4016.4,519.03,2500,North,3103.81,7035.43,-3931.62,-3931.62,-3931.62,-334347.45
2024-03-24,7353.67,0.0,0,0.0,0.0,4034.76,4016.6,588.29,2500,North,3318.91,7104.89,-3785.98,-3785.98,-3785.98,-338133.43
2024-03-25,7487.87,0.0,0,0.0,0.0,4016.62,4016.8,599.03,2500,North,3471.25,7115.83,-3644.58,-3644.58,-3644.58,-341778.01
2024-03-26,6736.78,0.0,0,0.0,0.0,3642.11,4017.0,538.94,2500,North,3094.66,7055.94,-3961.28,-3961.28,-3961.28,-345739.29
2024-03-27,5915.5,0.0,0,0.0,0.0,3160.5,4017.2,473.24,2500,North,2755.01,6990.44,-4235.43,-4235.43,-4235.43,-349974.72
2024-03-28,6347.79,0.0,0,0.0,0.0,3411.77,4017.4,507.82,2500,North,2936.02,7025.22,-4089.21,-4089.21,-4089.21,-354063.93
2024-03-29,6900.63,0.0,0,0.0,0.0,3669.6,4017.6,552.05,2500,North,3231.03,7069.65,-3838.62,-3838.62,-3838.62,-357902.55
2024-03-30,5715.73,0.0,0,0.0,0.0,2993.76,4017.8,457.26,2500,North,2721.97,6975.06,-4253.09,-4253.09,-4253.09,-362155.64
2024-03-31,6714.74,0.0,0,0.0,0.0,3480.66,4018.0,537.18,2500,North,3234.08,7055.18,-3821.1,-3821.1,-3821.1,-365976.74
2024-04-01,7697.47,0.0,0,0.0,0.0,4185.47,4018.2,615.8,2500,North,3512.0,7134.0,-3622.0,-3622.0,-3622.0,-369598.73
2024-04-02,8075.09,0.0,0,0.0,0.0,4327.97,4018.4,646.01,2500,North,3747.12,7164.41,-3417.29,-3417.29,-3417.29,-373016.02
2024-04-03,7087.24,0.0,0,0.0,0.0,3636.46,4018.6,566.98,2500,North,3450.77,7085.58,-3634.81,-3634.81,-3634.81,-376650.82
2024-04-04,7028.34,0.0,0,0.0,0.0,3515.69,4018.8,562.27,2500,North,3512.65,7081.07,-3568.41,-3568.41,-3568.41,-380219.24
2024-04-05,6972.04,0.0,0,0.0,0.0,3549.35,4019.0,557.76,2500,North,3422.69,7076.76,-3654.07,-3654.07,-3654.07,-383873.31
2024-04-06,6451.29,0.0,0,0.0,0.0,3359.36,4019.2,516.1,2500,North,3091.93,7035.3,-3943.38,-3943.38,-3943.38,-387816.69
