Date,Revenue,Marketing,R&D_Contracts,COGS,Salaries,Rent,Utilities,Loan_Proceeds,Loan_Payment,Product_Sold,Gross_Profit,Total_OpEx,Operating_Income,Daily_Cash_Flow,Cumulative_Cash_Flow
01-01-2024,2908.15,290.81,2007.97,1234.79,3000,1800,350,0,4000,Legacy Product,1673.36,7448.78,-5775.42,-9775.42,-9775.42
02-01-2024,2708.54,270.85,1998.19,1214.47,3000.15,1800,351.72,0,0,Legacy Product,1494.07,7420.92,-5926.84,-5926.84,-15702.26
03-01-2024,3192.53,319.25,1784.84,1352.55,3000.3,1800,353.44,0,0,Legacy Product,1839.97,7257.83,-5417.86,-5417.86,-21120.12
04-01-2024,3058.98,305.9,2395.5,1250.36,3000.45,1800,355.16,0,0,Legacy Product,1808.62,7857.01,-6048.39,-6048.39,-27168.51
05-01-2024,2758.47,275.85,1824.21,1109.17,3000.6,1800,356.88,0,0,Legacy Product,1649.3,7257.53,-5608.23,-5608.23,-32776.74
06-01-2024,2952.72,295.27,1982.07,1192.38,3000.75,1800,358.59,0,0,Legacy Product,1760.34,7436.69,-5676.34,-5676.34,-38453.08
07-01-2024,3017.7,301.77,1973.34,1339.38,3000.9,1800,360.3,0,0,Legacy Product,1678.32,7436.31,-5757.99,-5757.99,-44211.06
08-01-2024,3017.85,301.78,1965.44,1341.13,3001.05,1800,362.01,0,0,Legacy Product,1676.72,7430.29,-5753.57,-5753.57,-49964.63
09-01-2024,2771.71,277.17,2023.52,1224.71,3001.2,1800,363.72,0,0,Legacy Product,1547,7465.61,-5918.61,-5918.61,-55883.25
10-01-2024,3279.3,327.93,1710.79,1390.8,3001.35,1800,365.42,0,0,Legacy Product,1888.5,7205.49,-5316.99,-5316.99,-61200.24
11-01-2024,2909.71,290.97,2117,1247.46,3001.5,1800,367.12,0,0,Legacy Product,1662.25,7576.59,-5914.34,-5914.34,-67114.58
12-01-2024,2967.45,296.74,1869.99,1321.24,3001.65,1800,368.81,0,0,Legacy Product,1646.2,7337.19,-5690.99,-5690.99,-72805.56
13-01-2024,3262.24,326.22,2094.58,1323.39,3001.8,1800,370.5,0,0,Legacy Product,1938.85,7593.1,-5654.26,-5654.26,-78459.82
14-01-2024,3338.83,333.88,2014.24,1407.3,3001.95,1800,372.18,0,0,Legacy Product,1931.53,7522.25,-5590.72,-5590.72,-84050.54
15-01-2024,2856.8,285.68,1989.86,1189.33,3002.1,1800,373.85,0,0,Legacy Product,1667.46,7451.49,-5784.02,-5784.02,-89834.56
16-01-2024,3400.55,340.06,1881.21,1512.87,3002.25,1800,375.52,0,0,Legacy Product,1887.68,7399.04,-5511.36,-5511.36,-95345.92
17-01-2024,3064.54,306.45,1660.79,1320.03,3002.4,1800,377.18,0,0,Legacy Product,1744.51,7146.82,-5402.32,-5402.32,-100748.24
18-01-2024,2646.08,264.61,1927.6,1093.1,3002.55,1800,378.83,0,0,Legacy Product,1552.98,7373.59,-5820.61,-5820.61,-106568.85
19-01-2024,2786.63,278.66,2032.06,1231.13,3002.7,1800,380.47,0,0,Legacy Product,1555.5,7493.89,-5938.39,-5938.39,-112507.24
20-01-2024,2687.32,268.73,2368.39,1114.15,3002.85,1800,382.11,0,0,Legacy Product,1573.17,7822.07,-6248.91,-6248.91,-118756.15
21-01-2024,2852.37,285.24,2161.06,1174.89,3003,1800,383.73,0,0,Legacy Product,1677.48,7633.03,-5955.54,-5955.54,-124711.69
